Year,Month,mean_temp,ice_extent
2011,9,17.7,4.561333333333333
2011,10,10.5,6.464548387096774
2011,11,6.6,9.7718
2011,12,0.8,12.153580645161291
2012,1,-1.7,13.729419354838708
2012,2,-0.3,14.55334482758621
2012,3,6.7,15.196258064516131
2012,4,7.3,14.625766666666665
2012,5,16.6,13.011806451612902
2012,6,20.6,10.674533333333333
2012,7,24.3,7.671774193548385
2012,8,21.6,4.723290322580647
2012,9,16.4,3.5656000000000008
2012,10,10.2,5.885870967741937
2012,11,3.5,9.387966666666665
2012,12,0.8,12.00638709677419
2013,1,-2.1,13.702645161290324
2013,2,-4.6,14.723535714285717
2013,3,0.1,15.032032258064516
2013,4,6.0,14.298733333333333
2013,5,15.2,12.99725806451613
2013,6,16.5,11.36013333333333
2013,7,20.0,8.131677419354839
2013,8,21.0,6.013516129032259
2013,9,22.0,5.208266666666665
2013,10,18.0,7.4548387096774205
2013,11,12.0,9.939033333333333
2013,12,2.0,12.18425806451613
2014,1,-13.0,13.647483870967742
2014,2,-2.0,14.417571428571424
2014,3,-7.0,14.757516129032258
2014,4,5.0,14.087866666666669
2014,5,11.0,12.700709677419352
2014,6,17.0,11.0326
2014,7,26.0,8.108451612903226
2014,8,22.0,6.077870967741936
2014,9,24.0,5.219933333333332
2014,10,15.0,7.232451612903224
2014,11,1.0,10.1146
2014,12,-2.0,12.352580645161291
2015,1,-5.0,13.602322580645163
2015,2,-9.0,14.400642857142858
2015,3,-8.0,14.370516129032255
2015,4,2.0,13.89316666666667
2015,5,15.0,12.46809677419355
2015,6,12.0,10.878899999999994
2015,7,20.0,8.377870967741936
2015,8,22.0,5.5987419354838694
2015,9,23.0,4.615766666666665
2015,10,10.0,6.966225806451613
2015,11,10.0,9.846166666666669
2015,12,5.0,12.044774193548388
2016,1,-2.0,13.456774193548387
2016,2,4.0,14.202724137931032
2016,3,-9.0,14.39993548387097
2016,4,8.0,13.681266666666666
2016,5,9.0,11.924419354838712
2016,6,16.0,10.4129
2016,7,18.0,7.937548387096773
2016,8,24.0,5.370548387096773
2016,9,19.0,4.528499999999999
2016,10,14.0,6.0816451612903215
2016,11,12.0,8.657833333333334
2016,12,6.0,11.45941935483871
2017,1,0.0,13.190129032258065
2017,2,-1.0,14.119428571428571
2017,3,5.0,14.290064516129027
2017,4,6.0,13.753466666666665
2017,5,10.0,12.630451612903228
2017,6,14.0,10.756400000000001
2017,7,21.0,7.939354838709678
2017,8,23.0,5.480645161290323
2017,9,13.0,4.821900000000001
2017,10,11.0,6.7671290322580635
2017,11,6.0,9.492833333333333
2017,12,5.0,11.742677419354838
2018,1,-15.0,13.077354838709674
2018,2,-3.0,13.967250000000002
2018,3,2.0,14.29758064516129
2018,4,0.0,13.696066666666667
2018,5,18.0,12.232032258064516
2018,6,22.0,10.777500000000002
2018,7,29.0,8.26809677419355
2018,8,24.0,5.614806451612902
2018,9,21.0,4.785233333333332
2018,10,10.0,6.134096774193548
2018,11,6.0,9.823133333333333
2018,12,0.555556,11.86148387096774
